FIRST NAME,LAST NAME,EMAIL ADDRESS,PHONE NUMBER,CITY,STATE,F,
Frank,Riley,frank@email.com,123-456-7890,New York,New York,a,
Steve,Brannigan,steve@example.fr,123-456-1290,San Francisco,California,a,
Marie,Ambrose,marie@yahoo.org,123-976-7890,Dallas,Texas,a,
Yann,Mulonda,yann@example.com,321-854-5842,Minneapolis,Minnesota,a,
Chris,Martins,chris@email.org,123-654-8542,Seattle,Washington,a,
,,,,,,,
,,,,,,,
,,,,,,,
,FIRST NAME,LAST NAME,EMAIL ADDRESS,PHONE NUMBER,CITY,STATE,F
,Frank,Riley,frank@email.com,123-456-7890,New York,New York,a
,Steve,Brannigan,steve@example.fr,123-456-1290,San Francisco,California,a
,Marie,Ambrose,marie@yahoo.org,123-976-7890,Dallas,Texas,a
,Yann,Mulonda,yann@example.com,321-854-5842,Minneapolis,Minnesota,a
,Chris,Martins,chris@email.org,123-654-8542,Seattle,Washington,a
